"","Ranking","City","Country","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta"
"116",116,"Abu Dhabi","United Arab Emirates",9,32,4.52,0.51,10.19,1158.86,7.64,3509,317,31.53
"118",118,"Adelaide","Australia",18,17,3.04,1.4,4.13,1018.37,11.22,2765,458,6.43
"112",112,"Amsterdam","Netherlands",22,99,3.7,2.61,5.55,1711.83,16.65,1662,1782,33.77
"87",87,"Arequipa","Peru",9,4,1.81,1.18,1.85,213.76,2.38,3333,211,1.57
"60",60,"Athens","Greece",12,29,3.15,0.83,4.45,452.89,11.1,2773,1149,10.18
"100",100,"Auckland","New Zealand",34,30,3.34,1.72,6.54,1253.42,13.08,2003,1099,5.39
"1",1,"Bangkok","Thailand",28,117,2.03,1.07,2,539.73,2,2624,2262,28.39
"4",4,"Barcelona","Spain",37,136,2.07,1.31,3.33,999,13.33,2591,2739,62.89
"62",62,"Beijing","China",37,69,4.19,0.34,1.44,1014.96,4.71,2671,1408,7.29
"143",143,"Beirut","Lebanon",4,18,7.93,1.33,6.18,956.16,24.83,3534,188,10.24
"140",140,"Belfast","United Kingdom",26,13,3.56,1.39,5.85,786.38,15.57,1868,483,3.39
"23",23,"Belgrade","Serbia",34,33,1.72,0.66,1.89,400.4,6.6,2112,535,4.42
"39",38,"Berlin","Germany",33,127,3.24,2.22,3.24,1053.85,11.1,1626,1894,48.46
"119",119,"Bordeaux","France",20,14,3.47,1.85,6.66,782.22,14.43,2713,560,7.92
"107",107,"Boston","United States",33,41,4.16,1.74,6.55,2440.5,18.72,2634,653,23.85
"99",99,"Brisbane","Australia",22,37,3.24,1.52,5.6,1208.3,14.01,2968,668,11.95
"93",93,"Brussels","Belgium",37,66,3.38,2.16,4.45,941.68,16.65,1546,747,7.07
"9",9,"Bucharest","Romania",54,46,2.31,0.45,1.81,458.06,7.89,2115,726,3.38
"6",5,"Budapest","Hungary",37,40,1.56,0.94,1.56,476.66,6.25,1988,1468,14.27
"5",5,"Buenos Aires","Argentina",17,67,1.59,0.61,1.4,298.42,6.7,2525,1660,21.29
"108",108,"Calgary","Canada",24,34,3.17,1.51,5.26,939.02,13.52,2396,540,7.32
"92",92,"Cancun","Mexico",7,9,2.05,2.81,1.87,413.48,7.49,2525,912,10.01
"25",25,"Cape Town","South Africa",12,46,1.89,0.78,2.28,643.31,9.1,3094,1469,12.32
"68",68,"Cartagena","Colombia",11,9,1.09,1.76,2.16,485.21,2.69,3019,504,18.94
"11",10,"Chiang Mai","Thailand",26,25,1.72,0.43,2.29,392.72,2,2512,1181,6.43
"42",42,"Chicago","United States",42,104,3.93,1.57,5.15,1729.71,15.91,2508,1411,51.6
"111",111,"Cologne","Germany",33,38,3.04,2.22,4.45,925.08,10.54,1504,465,7.66
"34",34,"Colombo","Sri Lanka",9,24,2.03,0.23,1.6,407.02,1.89,3007,868,2.58
"124",124,"Copenhagen","Denmark",46,26,5.8,1.79,7.46,1532.61,19.4,1803,772,10.1
"135",135,"Dakar","Senegal",6,6,2.6,1.69,1.07,653.82,5.08,3078,70,2.11
"131",131,"Doha","Qatar",12,13,4.41,0.52,11.57,1455.29,7.71,3897,203,22.18
"126",126,"Dresden","Germany",35,5,2.65,2.43,3.86,581.89,11.04,1581,303,3.64
"48",48,"Dubai","United Arab Emirates",15,115,4.76,0.56,11.47,1390.84,8.92,3885,1615,110.96
"95",95,"Dublin","Ireland",61,46,3.74,1.66,6.11,1868.16,16.65,1453,1243,12.94
"136",136,"Dubrovnik","Croatia",19,0,3.28,1.55,5.93,752.06,15.54,3322,468,2.56
"114",114,"Dusseldorf","Germany",25,44,3.37,2.44,4.45,891.62,11.1,2359,312,7.24
"134",134,"Edinburgh","United Kingdom",26,23,3.59,1.85,5.53,1050.83,19.5,1427,1163,9.58
"125",125,"Edmonton","Canada",30,10,3.5,1.35,4.51,885.68,15.03,2345,294,4.77
"58",58,"Faro","Portugal",70,1,2.04,1.1,2.76,662.58,9.66,3036,167,1.71
"73",73,"Florence","Italy",18,13,1.46,1.1,5.55,845.69,16.65,2924,1377,10.39
"120",120,"Frankfurt","Germany",22,66,3.24,2.22,4.45,1162.93,11.1,1586,497,11.61
"145",145,"Geneva","Switzerland",36,23,4.58,3.17,8.18,2035.09,25.57,1828,300,4.33
"139",139,"Glasgow","United Kingdom",26,16,3.6,1.38,4.55,846.6,19.5,1203,682,7.25
