"","Ranking","City","Country","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta"
"116",116,"Abu Dhabi","United Arab Emirates",9,32,4.524,0.507,10.192,1158.859,7.644,3509,317,31532015
"118",118,"Adelaide","Australia",18,17,3.042,1.404,4.134,1018.368,11.219,2765,458,6427748
"112",112,"Amsterdam","Netherlands",22,99,3.705,2.613,5.551,1711.827,16.653,1662,1782,33774833
"87",87,"Arequipa","Peru",9,4,1.807,1.183,1.846,213.759,2.379,3333,211,1571080
"60",60,"Athens","Greece",12,29,3.146,0.832,4.446,452.894,11.102,2773,1149,10176728
"100",100,"Auckland","New Zealand",34,30,3.341,1.716,6.539,1253.421,13.078,2003,1099,5385894
"1",1,"Bangkok","Thailand",28,117,2.028,1.066,2.002,539.734,2.002,2624,2262,28386616
"4",4,"Barcelona","Spain",37,136,2.067,1.313,3.328,998.998,13.325,2591,2739,62894055
"62",62,"Beijing","China",2,69,4.186,0.338,1.443,1014.962,4.706,2671,1408,7286155
"143",143,"Beirut","Lebanon",4,18,7.93,1.326,6.175,956.163,24.83,3534,188,10239115
"140",140,"Belfast","United Kingdom",26,13,3.562,1.391,5.85,786.383,15.574,1868,483,3389741
"23",23,"Belgrade","Serbia",34,33,1.716,0.663,1.885,400.4,6.604,2112,535,4424079
"39",38,"Berlin","Germany",33,127,3.237,2.223,3.237,1053.845,11.102,1626,1894,48461817
"119",119,"Bordeaux","France",20,14,3.471,1.846,6.656,782.223,14.43,2713,560,7924124
"107",107,"Boston","United States",33,41,4.16,1.742,6.552,2440.503,18.72,2634,653,23846477
"99",99,"Brisbane","Australia",22,37,3.237,1.521,5.603,1208.298,14.014,2968,668,11948455
"93",93,"Brussels","Belgium",37,66,3.38,2.158,4.446,941.681,16.653,1546,747,7074355
"9",9,"Bucharest","Romania",54,46,2.314,0.455,1.807,458.055,7.891,2115,726,3376251
"6",5,"Budapest","Hungary",37,40,1.56,0.936,1.56,476.658,6.253,1988,1468,14267880
"5",5,"Buenos Aires","Argentina",17,67,1.586,0.611,1.404,298.415,6.695,2525,1660,21293975
"108",108,"Calgary","Canada",24,34,3.172,1.508,5.265,939.016,13.52,2396,540,7317582
"92",92,"Cancun","Mexico",7,9,2.054,2.808,1.872,413.478,7.488,2525,912,10005189
"25",25,"Cape Town","South Africa",12,46,1.885,0.78,2.275,643.305,9.1,3094,1469,12323779
"68",68,"Cartagena","Colombia",11,9,1.092,1.755,2.158,485.212,2.691,3019,504,18939652
"11",10,"Chiang Mai","Thailand",26,25,1.716,0.429,2.288,392.717,2.002,2512,1181,6428544
"42",42,"Chicago","United States",42,104,3.926,1.573,5.148,1729.715,15.912,2508,1411,51603607
"111",111,"Cologne","Germany",33,38,3.042,2.223,4.446,925.08,10.543,1504,465,7660853
"34",34,"Colombo","Sri Lanka",9,24,2.028,0.234,1.599,407.017,1.885,3007,868,2575173
