"","X","Ranking","City","Country.x","Wifi","Co_Work","Coffee","Taxi","Beer","Rent","Meal","Sun","Fun","Insta","Continent","Region","city_ascii","lat","lng","iso2","iso3","admin_name","capital","population","id","Rank","Country.y","Score","Extra","Extra2","Extra3"
"1",1,41,"Tokyo","Japan",32,163,2.65,2.75,6.54,1011.57,6.55,1881,3416,56623159,"Asia","East Asia & Pacific","Tokyo",35.6897,139.6922,"JP","JPN","Tōkyō","primary",37977000,1392685764,"79","Japan",5.989,"",NA,NA
"2",2,13,"Jakarta","Indonesia",14,104,1.74,0.22,3.98,338.45,1.99,3252,449,75735133,"Asia","East Asia & Pacific","Jakarta",-6.2146,106.8451,"ID","IDN","Jakarta","primary",34540000,1360771077,NA,NA,NA,NA,NA,NA
"3",3,7,"Mumbai","India",23,152,1.57,0.22,3.28,419.64,2.9,2584,892,47201552,"Asia","South Asia","Mumbai",18.9667,72.8333,"IN","IND","Mahārāshtra","admin",23355000,1356226629,NA,NA,NA,NA,NA,NA
"4",4,104,"Manila","Philippines",8,29,1.77,0.19,2.44,493.79,2.87,2103,161,5381518,"Asia","East Asia & Pacific","Manila",14.6,120.9833,"PH","PHL","Manila","primary",23088000,1608618140,NA,NA,NA,NA,NA,NA
"5",5,94,"Shanghai","China",2,119,2.94,0.32,2.22,959.42,3.33,1776,975,10969967,"Asia","East Asia & Pacific","Shanghai",31.1667,121.4667,"CN","CHN","Shanghai","admin",22120000,1156073548,"84","China",5.936,"",NA,NA
"6",6,14,"São Paulo","Brazil",17,112,1.14,0.85,2.82,323.93,4.23,1894,1267,32178314,"Americas","Latin America & Caribbean","Sao Paulo",-23.5504,-46.6339,"BR","BRA","São Paulo","admin",22046000,1076532519,NA,NA,NA,NA,NA,NA
"7",7,17,"Mexico City","Mexico",20,133,1.67,0.24,2.9,454.33,5.44,2555,969,6810938,"Americas","Latin America & Caribbean","Mexico City",19.4333,-99.1333,"MX","MEX","Ciudad de México","primary",20996000,1484247881,"38","Mexico",6.693,"",NA,NA
"8",8,62,"Beijing","China",2,69,3.22,0.26,2.22,780.74,3.62,2671,1408,7286155,"Asia","East Asia & Pacific","Beijing",39.905,116.3914,"CN","CHN","Beijing","primary",19433000,1156228865,"134","China",5.228,"",NA,NA
"9",9,45,"New York","United States",37,272,3.48,1.34,10.58,2171.68,14.4,2535,10269,113711319,"Americas","North America","New York",40.6943,-73.9249,"US","USA","New York","",18713220,1840034016,"30","USA",6.964,"",NA,NA
"10",10,31,"Moscow","Russia",17,47,1.7,0.15,4.06,643.35,7.56,1901,4653,58201864,"Europe","Europe & Central Asia","Moscow",55.7558,37.6178,"RU","RUS","Moskva","primary",17125000,1643318494,"76","Russia",6.028,"",NA,NA
"11",11,1,"Bangkok","Thailand",28,117,1.56,0.82,3.08,415.18,1.54,2624,2262,28386616,"Asia","East Asia & Pacific","Bangkok",13.75,100.5167,"TH","THA","Krung Thep Maha Nakhon","primary",17066000,1764068610,NA,NA,NA,NA,NA,NA
"12",12,5,"Buenos Aires","Argentina",17,67,1.22,0.47,2.16,229.55,5.15,2525,1660,21293975,"Americas","Latin America & Caribbean","Buenos Aires",-34.5997,-58.3819,"AR","ARG","Buenos Aires, Ciudad Autónoma de","primary",16157000,1032717330,"57","Argentina",6.324,"",NA,NA
"13",13,8,"Istanbul","Turkey",13,69,1.23,0.29,3.34,230.1,2.92,2218,2088,116213193,"Asia","Europe & Central Asia","Istanbul",41.01,28.9603,"TR","TUR","İstanbul","admin",15154000,1792756324,"115","Turkey",5.44,"",NA,NA
"14",14,21,"Ho Chi Minh City","Vietnam",13,92,1.36,0.47,1.32,404.46,1.57,2489,1357,1636058,"Asia","East Asia & Pacific","Ho Chi Minh City",10.8167,106.6333,"VN","VNM","Hồ Chí Minh","admin",13312000,1704774326,NA,NA,NA,NA,NA,NA
"15",15,30,"Los Angeles","United States",58,105,3.39,1.21,10.08,1612.62,14.4,3254,1375,75436810,"Americas","North America","Los Angeles",34.1139,-118.4068,"US","USA","California","",12750807,1840020491,"31","USA",6.956,"",NA,NA
